Node Type,Node,Node Interface,Peer Type,Peer Node,Peer Interface
l3leaf,leaf-1a,Ethernet1,spine,spine-1,Ethernet1
l3leaf,leaf-1a,Ethernet2,spine,spine-2,Ethernet1
l3leaf,leaf-1a,Ethernet11,mlag_peer,leaf-1b,Ethernet11
l3leaf,leaf-1a,Ethernet12,mlag_peer,leaf-1b,Ethernet12
l3leaf,leaf-1b,Ethernet1,spine,spine-1,Ethernet2
l3leaf,leaf-1b,Ethernet2,spine,spine-2,Ethernet2
l3leaf,leaf-1b,Ethernet11,mlag_peer,leaf-1a,Ethernet11
l3leaf,leaf-1b,Ethernet12,mlag_peer,leaf-1a,Ethernet12
l3leaf,leaf-2a,Ethernet1,spine,spine-1,Ethernet3
l3leaf,leaf-2a,Ethernet2,spine,spine-2,Ethernet3
l3leaf,leaf-2a,Ethernet11,mlag_peer,leaf-2b,Ethernet11
l3leaf,leaf-2a,Ethernet12,mlag_peer,leaf-2b,Ethernet12
l3leaf,leaf-2b,Ethernet1,spine,spine-1,Ethernet4
l3leaf,leaf-2b,Ethernet2,spine,spine-2,Ethernet4
l3leaf,leaf-2b,Ethernet11,mlag_peer,leaf-2a,Ethernet11
l3leaf,leaf-2b,Ethernet12,mlag_peer,leaf-2a,Ethernet12
l3leaf,leaf-3a,Ethernet1,spine,spine-1,Ethernet5
l3leaf,leaf-3a,Ethernet2,spine,spine-2,Ethernet5
l3leaf,leaf-4a,Ethernet1,spine,spine-1,Ethernet7
l3leaf,leaf-4a,Ethernet2,spine,spine-2,Ethernet7
l3leaf,leaf-9a-SVC,Ethernet1,spine,spine-1,Ethernet9
l3leaf,leaf-9a-SVC,Ethernet2,spine,spine-2,Ethernet9
spine,spine-1,Ethernet1,l3leaf,leaf-1a,Ethernet1
spine,spine-1,Ethernet2,l3leaf,leaf-1b,Ethernet1
spine,spine-1,Ethernet3,l3leaf,leaf-2a,Ethernet1
spine,spine-1,Ethernet4,l3leaf,leaf-2b,Ethernet1
spine,spine-1,Ethernet5,l3leaf,leaf-3a,Ethernet1
spine,spine-1,Ethernet7,l3leaf,leaf-4a,Ethernet1
spine,spine-1,Ethernet9,l3leaf,leaf-9a-SVC,Ethernet1
spine,spine-2,Ethernet1,l3leaf,leaf-1a,Ethernet2
spine,spine-2,Ethernet2,l3leaf,leaf-1b,Ethernet2
spine,spine-2,Ethernet3,l3leaf,leaf-2a,Ethernet2
spine,spine-2,Ethernet4,l3leaf,leaf-2b,Ethernet2
spine,spine-2,Ethernet5,l3leaf,leaf-3a,Ethernet2
spine,spine-2,Ethernet7,l3leaf,leaf-4a,Ethernet2
spine,spine-2,Ethernet9,l3leaf,leaf-9a-SVC,Ethernet2
